city,year,weekofyear,total_cases
iq,2012,22,2
iq,2012,23,3
iq,2012,24,3
iq,2012,25,2
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,2
iq,2012,30,3
iq,2012,31,7
iq,2012,32,13
iq,2012,33,13
iq,2012,34,11
iq,2012,35,20
iq,2012,36,19
iq,2012,37,17
iq,2012,38,17
iq,2012,39,18
iq,2012,40,18
iq,2012,41,21
iq,2012,42,22
iq,2012,43,19
iq,2012,44,19
iq,2012,45,19
iq,2012,46,19
iq,2012,47,28
iq,2012,48,25
iq,2012,49,22
iq,2012,50,23
iq,2012,51,22
iq,2013,1,4
iq,2013,2,5
iq,2013,3,6
iq,2013,4,9
iq,2013,5,7
iq,2013,6,3
iq,2013,7,3
iq,2013,8,3
iq,2013,9,3
iq,2013,10,3
iq,2013,11,7
iq,2013,12,7
iq,2013,13,3
iq,2013,14,3
iq,2013,15,5
iq,2013,16,1
iq,2013,17,3
iq,2013,18,0
iq,2013,19,3
iq,2013,20,3
iq,2013,21,3
iq,2013,22,3
iq,2013,23,3
iq,2013,24,2
iq,2013,25,2
iq,2013,26,2
