city,year,weekofyear,total_cases
iq,2007,8,5
iq,2007,9,11
iq,2007,10,2
iq,2007,11,6
iq,2007,12,7
iq,2007,13,6
iq,2007,14,5
iq,2007,15,9
iq,2007,16,5
iq,2007,17,8
iq,2007,18,3
iq,2007,19,4
iq,2007,20,11
iq,2007,21,5
iq,2007,22,8
iq,2007,23,4
iq,2007,24,3
iq,2007,25,1
iq,2007,26,2
iq,2007,27,3
iq,2007,28,4
iq,2007,29,1
iq,2007,30,8
iq,2007,31,5
iq,2007,32,3
iq,2007,33,2
iq,2007,34,7
iq,2007,35,1
iq,2007,36,6
iq,2007,37,7
iq,2007,38,5
iq,2007,39,2
iq,2007,40,6
iq,2007,41,11
iq,2007,42,6
iq,2007,43,3
iq,2007,44,11
iq,2007,45,11
iq,2007,46,5
iq,2007,47,4
iq,2007,48,9
iq,2007,49,23
iq,2007,50,28
iq,2007,51,26
iq,2007,52,7
iq,2008,1,29
iq,2008,2,58
iq,2008,3,26
iq,2008,4,38
iq,2008,5,35
iq,2008,6,37
iq,2008,7,20
iq,2008,8,29
iq,2008,9,25
iq,2008,10,23
iq,2008,11,9
iq,2008,12,3
iq,2008,13,6
iq,2008,14,6
iq,2008,15,3
iq,2008,16,1
iq,2008,17,3
iq,2008,18,1
iq,2008,19,1
iq,2008,20,0
iq,2008,21,2
iq,2008,22,1
iq,2008,23,1
iq,2008,24,0
iq,2008,25,0
iq,2008,26,1
iq,2008,27,0
iq,2008,28,3
iq,2008,29,3
iq,2008,30,1
iq,2008,31,5
iq,2008,32,2
iq,2008,33,5
iq,2008,34,5
iq,2008,35,5
iq,2008,36,9
iq,2008,37,17
iq,2008,38,19
iq,2008,39,25
iq,2008,40,45
iq,2008,41,34
iq,2008,42,63
iq,2008,43,44
iq,2008,44,50
iq,2008,45,35
iq,2008,46,16
iq,2008,47,16
iq,2008,48,13
iq,2008,49,9
iq,2008,50,15
iq,2008,51,4
iq,2008,52,0
iq,2009,1,1
iq,2009,2,10
iq,2009,3,11
iq,2009,4,29
iq,2009,5,35
iq,2009,6,30
iq,2009,7,20
iq,2009,8,21
iq,2009,9,12
iq,2009,10,9
iq,2009,11,11
iq,2009,12,9
iq,2009,13,5
iq,2009,14,11
iq,2009,15,3
iq,2009,16,5
iq,2009,17,5
iq,2009,18,4
iq,2009,19,4
iq,2009,20,1
iq,2009,21,0
iq,2009,22,2
iq,2009,23,3
iq,2009,24,3
iq,2009,25,5
iq,2009,26,2
iq,2009,27,1
iq,2009,28,2
iq,2009,29,0
iq,2009,30,0
iq,2009,31,3
iq,2009,32,5
iq,2009,33,5
iq,2009,34,7
iq,2009,35,5
iq,2009,36,2
iq,2009,37,2
iq,2009,38,2
iq,2009,39,0
iq,2009,40,2
iq,2009,41,1
iq,2009,42,1
iq,2009,43,2
iq,2009,44,2
iq,2009,45,3
iq,2009,46,9
iq,2009,47,5
iq,2009,48,5
iq,2009,49,4
iq,2009,50,4
iq,2009,51,1
iq,2009,52,0
iq,2010,53,0
iq,2010,1,10
iq,2010,2,9
iq,2010,3,17
iq,2010,4,16
iq,2010,5,11
iq,2010,6,12
iq,2010,7,19
iq,2010,8,15
iq,2010,9,12
iq,2010,10,12
iq,2010,11,16
iq,2010,12,9
iq,2010,13,4
iq,2010,14,9
iq,2010,15,6
iq,2010,16,8
iq,2010,17,4
iq,2010,18,2
iq,2010,19,7
iq,2010,20,6
iq,2010,21,5
iq,2010,22,8
iq,2010,23,1
iq,2010,24,1
iq,2010,25,4
